IP-Address,State
198.51.100.1,United States
203.0.113.2,Germany
198.51.100.3,Japan
203.0.113.4,France
198.51.100.5,United Kingdom
203.0.113.6,Canada
198.51.100.7,Australia
203.0.113.8,Brazil
198.51.100.9,India
203.0.113.10,South Africa
198.51.100.11,Saudi Arabia
203.0.113.12,United Arab Emirates
198.51.100.13,Egypt
203.0.113.14,Turkey
198.51.100.15,Russia
203.0.113.16,China
198.51.100.17,South Korea
203.0.113.18,Mexico
198.51.100.19,Italy
203.0.113.20,Spain
198.51.100.21,Netherlands
203.0.113.22,Sweden
198.51.100.23,Poland
203.0.113.24,Argentina
198.51.100.25,Nigeria
